Medium,AC/NON,Tile yes/no,plant no,plant height,plant weight,no of leaves,no of roots,root length
Sand,Non,No,1,3,0.028,4,1,1.5
Sand,Non,No,2,3.3,0.04,4,4,1.5
Sand,Non,No,3,5.1,0.08,8,4,1.8
Sand,Non,No,4,3.7,0.041,4,3,1.1
Sand,Non,No,5,3.2,0.07,3,4,1.1
Sand,Non,No,6,2.7,0.061,4,2,2.1
Sand,Non,No,7,4,0.058,3,5,1.2
Sand,Non,No,8,3.3,0.047,4,3,1.7
Sand,Non,No,9,3.7,0.037,4,3,2.2
Sand,Non,No,10,2.7,0.055,4,4,1
Sand,Non,No,11,3.6,0.035,4,2,0.9
Sand,Non,No,12,3.5,0.052,4,3,2.1
Sand,Non,No,13,3,0.028,4,2,1.5
Sand,Non,No,14,2,0.024,4,2,0.8
Sand,Non,No,15,4,0.026,4,3,2
Sand,Non,No,16,2.1,0.051,3,3,1.5
Sand,Non,No,17,2.1,0.021,4,3,2
Sand,Non,No,18,3.2,0.042,5,3,2.5
Sand,Non,No,19,2.1,0.017,4,2,1.8
Sand,Non,No,20,0.7,0.009,3,4,0.7
Sand,Non,No,1,4.1,0.077,5,4,4.1
Sand,Non,No,2,4,0.075,4,3,3.2
Sand,Non,No,3,3.7,0.092,5,4,4.3
Sand,Non,No,4,4.6,0.058,5,3,2.8
Sand,Non,No,5,5.7,0.096,4,3,3
Sand,Non,No,6,3.1,0.031,5,3,1
Sand,Non,No,7,4.1,0.052,4,2,2.6
Sand,Non,No,8,4.1,0.042,4,3,2.5
Sand,Non,No,9,3.6,0.038,5,2,2.1
Sand,Non,No,10,2.1,0.029,4,3,1.3
Sand,Non,No,11,4.6,0.061,6,3,2.4
Sand,Non,No,12,1.8,0.027,4,4,0.7
Sand,Non,No,13,3,0.024,4,2,0.9
Sand,Non,No,14,2.1,0.033,4,3,1.8
Sand,Non,No,15,2.3,0.028,3,2,1.7
Sand,Non,No,16,1.9,0.038,6,4,1.3
Sand,Non,No,17,2.5,0.033,4,2,1.3
Sand,Non,No,18,2.3,0.021,4,2,1.1
Sand,Non,No,19,2.1,0.012,6,1,1.2
Sand,Non,No,20,2.1,0.0007,5,2,1.7
Sand,Non,No,1,3.4,0.042,4,4,1.2
Sand,Non,No,2,3.8,0.04,3,3,1.8
Sand,Non,No,3,3.4,0.037,4,3,1.8
Sand,Non,No,4,4.6,0.044,4,3,2.1
Sand,Non,No,5,3.3,0.048,5,2,1.6
Sand,Non,No,6,3.2,0.034,4,3,1
Sand,Non,No,7,3.3,0.052,4,2,2.3
Sand,Non,No,8,3.2,0.06,5,2,1.9
Sand,Non,No,9,5.2,0.03,5,4,1.3
Sand,Non,No,10,5.6,0.033,4,3,2.1
Sand,Non,No,11,3.3,0.042,4,3,1.5
Sand,Non,No,12,2.5,0.013,5,2,1.2
Sand,Non,No,13,3,0.025,4,4,2
Sand,Non,No,14,2.5,0.029,5,3,1.1
